read_num chr strand coord
SRR8798075.63543 chr10 + 3909864
SRR8798075.58228 chr10 + 3959301
SRR8798075.39064 chr10 + 3959301
SRR8798075.55063 chr10 + 3959301
SRR8798075.32778 chr10 + 3959760
SRR8798075.50463 chr10 + 3959300
SRR8798075.57185 chr10 + 3959305
SRR8798075.39264 chr10 + 3967298
SRR8798075.42759 chr10 + 3967298
SRR8798075.26447 chr10 + 3967298
SRR8798075.60609 chr10 + 3967298
SRR8798075.28075 chr10 + 3967303
SRR8798075.6696 chr10 + 3967297
SRR8798075.9189 chr10 + 4156109
SRR8798075.50395 chr10 + 4359468
SRR8798075.18804 chr10 + 4359469
SRR8798075.14112 chr10 + 4359469
SRR8798075.14311 chr10 + 4359469
SRR8798075.17752 chr10 + 4359469
SRR8798075.7837 chr10 + 4359469
SRR8798075.49371 chr10 + 4359471
SRR8798075.12656 chr10 + 4359469
SRR8798075.40529 chr10 + 4359469
SRR8798075.9915 chr10 + 4359469
SRR8798075.33297 chr10 + 4859620
SRR8798075.52832 chr10 + 7625483
SRR8798075.6056 chr10 + 7678881
SRR8798075.44346 chr10 + 7678878
SRR8798075.53003 chr10 + 7678878
SRR8798075.28626 chr10 + 7713269
SRR8798075.12840 chr10 + 7763149
SRR8798075.30218 chr10 + 9692353
SRR8798075.42154 chr10 + 9691907
SRR8798075.4131 chr10 + 9691803
SRR8798075.28562 chr10 + 9691907
SRR8798075.7577 chr10 + 10614043
SRR8798075.9476 chr10 + 10614258
SRR8798075.52130 chr10 + 10630582
SRR8798075.10548 chr10 + 11214301
SRR8798075.47546 chr10 + 11291574
SRR8798075.56775 chr10 + 11291574
SRR8798075.23042 chr10 + 11291574
SRR8798075.9474 chr10 + 11296225
SRR8798075.34889 chr10 + 11296232
SRR8798075.41892 chr10 + 11296226
SRR8798075.53974 chr10 + 11296344
SRR8798075.29114 chr10 + 11296228
SRR8798075.46895 chr10 + 11296983
SRR8798075.10888 chr10 + 11610480
SRR8798075.48208 chr10 + 11610018
SRR8798075.47327 chr10 + 13009182
SRR8798075.49220 chr10 + 13540434
SRR8798075.7008 chr10 + 14664338
SRR8798075.47216 chr10 + 14664337
SRR8798075.39212 chr10 + 14664340
SRR8798075.22616 chr10 + 14664337
SRR8798075.29418 chr10 + 17725651
