chr	strand	coord	tottag	UPA_start	UPA_end	nPA	maxtag	ftr	gene_type	ftr_start	ftr_end	gene	gene_start	gene_end	gene_stop_codon	upstream_id	upstream_start	upstream_end	downstream_id	downstream_start	downstream_end	three_UTR_length	three_extend	toStop	tag
3974	chr1_GL456210_random	-	123613	1	123613	123613	1	1	intergenic	NA	135395	110303	character(0)	135395	136519	3074322	character(0)	135395	136519	character(0)	108390	110303	2950709	11782	NA	1
3976	chr1_GL456211_random	-	53928	4	53928	53937	4	1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	54469	54840	character(0)	30483	32396	3020394	541	3020394	4
3975	chr1_GL456211_random	+	67861	3	67861	67867	3	1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	66955	67326	character(0)	113868	114758	3006461	535	3006461	3
3978	chr1_GL456212_random	-	114629	2	114629	114634	2	1	intergenic	NA	128555	34932	character(0)	128555	150452	3074322	character(0)	128555	150452	character(0)	31967	34932	2959693	13926	NA	2
3979	chr1_GL456212_random	-	128603	2	128603	128603	2	1	3UTR	NA	128555	128946	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	2945719	NA	2945719	2
3977	chr1_GL456212_random	-	60543	3	60543	60556	3	1	intergenic	NA	128555	34932	character(0)	128555	150452	3074322	character(0)	128555	150452	character(0)	31967	34932	3013779	68012	NA	3
3980	chr1_GL456221_random	+	59649	1	59649	59649	1	1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	58743	59114	character(0)	151235	152734	3014673	535	3014673	1
419	chr10	-	100443902	4	100443902	100443908	4	1	3UTR	NA	100443902	100446928	237500	100443902	100487350	100446929	NA	NA	NA	NA	NA	NA	3027	NA	3027	4
420	chr10	-	101314419	44	101314419	101314457	44	1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240097	1117489	NA	44
421	chr10	-	103797029	1	103797029	103797029	1	1	intergenic	NA	103856267	103582393	character(0)	103856267	103858332	3074322	character(0)	103856267	103858332	character(0)	103581398	103582393	100722707	59238	NA	1
422	chr10	-	105825997	1	105825997	105825997	1	1	intron	NA	105823311	105825997	216292	105763189	105841378	105763360	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
249	chr10	-	10591969	1	10591969	10591969	1	1	intergenic	NA	10686059	10558265	14816	10686059	11082356	10688963	14816	10686059	11082356	67844	10545002	10558265	96994	94090	NA	1
423	chr10	-	108411612	1	108411612	108411612	1	1	intergenic	NA	108497650	108142432	20979	108497650	109010975	108500540	20979	108497650	109010975	character(0)	108141688	108142432	88928	86038	NA	1
424	chr10	-	108733720	1	108733720	108733720	1	1	intron	NA	108691064	108831105	20979	108497650	109010975	108500540	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
425	chr10	-	109681576	1	109681576	109681576	1	1	3UTR	NA	109681259	109684119	260315	109681259	110000219	109684120	NA	NA	NA	NA	NA	NA	2544	NA	2544	1
426	chr10	-	112013768	4	112013768	112013768	4	1	intron	NA	112013521	112024360	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
427	chr10	-	115197013	1	115197013	115197013	1	1	3UTR	NA	NA	NA	66687	NA	NA	NA	66687	115197872	115251467	216343	115078641	115185022	2539	859	2539	1
428	chr10	-	115198731	1	115198731	115198731	1	1	3UTR	NA	115197872	115199551	66687	115197872	115251467	115199552	NA	NA	NA	NA	NA	NA	821	NA	821	1
429	chr10	-	115199394	1	115199394	115199394	1	1	3UTR	NA	115197872	115199551	66687	115197872	115251467	115199552	NA	NA	NA	NA	NA	NA	158	NA	158	1
430	chr10	-	115287311	1	115287311	115287311	1	1	3UTR	NA	115287084	115290771	216344	115287084	115315591	115290772	NA	NA	NA	NA	NA	NA	3461	NA	3461	1
431	chr10	-	115289862	2	115289862	115289862	2	1	3UTR	NA	115287084	115290771	216344	115287084	115315591	115290772	NA	NA	NA	NA	NA	NA	910	NA	910	2
432	chr10	-	115340739	1	115340739	115340739	1	1	intron	NA	115339887	115342473	67226	115339674	115362231	115342506	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
433	chr10	-	115342404	1	115342404	115342404	1	1	3UTR	NA	115340742	115342505	67226	115339674	115362231	115342506	NA	NA	NA	NA	NA	NA	102	NA	102	1
434	chr10	-	116123542	3	116123542	116123551	3	1	intergenic	NA	116417861	116113917	58802	116417861	116473878	116418238	58802	116417861	116473878	619332	116111664	116113917	294696	294319	NA	3
435	chr10	-	116336344	7	116336344	116336353	7	1	intergenic	NA	116417861	116113917	58802	116417861	116473878	116418238	58802	116417861	116473878	619332	116111664	116113917	81894	81517	NA	7
436	chr10	-	116485164	5	116485164	116485165	5	1	3UTR	NA	116485161	116486199	72068	116485161	116581511	116486200	NA	NA	NA	NA	NA	NA	1036	NA	1036	5
437	chr10	-	116485508	2	116485508	116485508	2	1	3UTR	NA	116485161	116486199	72068	116485161	116581511	116486200	NA	NA	NA	NA	NA	NA	692	NA	692	2
438	chr10	-	116485787	3	116485787	116485787	3	1	3UTR	NA	116485161	116486199	72068	116485161	116581511	116486200	NA	NA	NA	NA	NA	NA	413	NA	413	3
439	chr10	-	116906774	2	116906774	116906775	2	1	3UTR	NA	116905784	116907035	216363	116905784	116950380	116907036	NA	NA	NA	NA	NA	NA	262	NA	262	2
440	chr10	-	117001446	1	117001446	117001446	1	1	intergenic	NA	117051001	116973208	12461	117051001	117063814	117051246	12461	117051001	117063814	character(0)	116972766	116973208	49800	49555	NA	1
441	chr10	-	117001734	1	117001734	117001734	1	1	intergenic	NA	117051001	116973208	12461	117051001	117063814	117051246	12461	117051001	117063814	character(0)	116972766	116973208	49512	49267	NA	1
442	chr10	-	117050997	9	117050997	117051005	9	1	3UTR	NA	NA	NA	12461	NA	NA	NA	12461	117051001	117063814	character(0)	116972766	116973208	249	4	249	9
443	chr10	-	117070755	1	117070755	117070755	1	1	3UTR	NA	117069427	117073928	327826	117069427	117148510	117073929	NA	NA	NA	NA	NA	NA	3174	NA	3174	1
444	chr10	-	117215141	6	117215141	117215141	6	1	3UTR	NA	NA	NA	64050	NA	NA	NA	64050	117215221	117224490	character(0)	117183335	117183411	5265	80	5265	6
445	chr10	-	117215217	4	117215217	117215221	4	1	3UTR	NA	NA	NA	64050	NA	NA	NA	64050	117215221	117224490	character(0)	117183335	117183411	5189	4	5189	4
446	chr10	-	117360855	1	117360855	117360855	1	1	intron	NA	117360556	117360855	432508	117344673	117376970	117355938	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
447	chr10	-	117750621	3	117750621	117750623	3	1	3UTR	NA	117750621	117750967	103468	117750621	117792664	117774550	NA	NA	NA	NA	NA	NA	23929	NA	23929	3
448	chr10	-	117813868	2	117813868	117813868	2	1	3UTR	NA	NA	NA	215449	NA	NA	NA	215449	117813871	117846035	character(0)	117798459	117798765	3506	3	3506	2
449	chr10	-	117814543	1	117814543	117814543	1	1	3UTR	NA	117813871	117815780	215449	117813871	117846035	117817374	NA	NA	NA	NA	NA	NA	2831	NA	2831	1
450	chr10	-	117814602	1	117814602	117814602	1	1	3UTR	NA	117813871	117815780	215449	117813871	117846035	117817374	NA	NA	NA	NA	NA	NA	2772	NA	2772	1
451	chr10	-	118187827	2	118187827	118187827	2	1	intergenic	NA	118232128	118165162	character(0)	118232128	118233531	3074322	character(0)	118232128	118233531	character(0)	118163985	118165162	115113505	44301	NA	2
452	chr10	-	119201974	1	119201974	119201974	1	1	3UTR	NA	119199255	119202980	71902	119199255	119240055	119202981	NA	NA	NA	NA	NA	NA	1007	NA	1007	1
453	chr10	-	119202522	2	119202522	119202524	2	1	3UTR	NA	119199255	119202980	71902	119199255	119240055	119202981	NA	NA	NA	NA	NA	NA	459	NA	459	2
454	chr10	-	119454694	1	119454694	119454694	1	1	exon	NA	119454681	119454830	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
455	chr10	-	120084539	1	120084539	120084539	1	1	3UTR	NA	120083608	120084811	117599	120083608	120112987	120084812	NA	NA	NA	NA	NA	NA	273	NA	273	1
456	chr10	-	120361275	2	120361275	120361276	2	1	3UTR	NA	120361275	120364251	15364	120361275	120476469	120364252	NA	NA	NA	NA	NA	NA	2977	NA	2977	2
250	chr10	-	12133290	1	12133290	12133290	1	1	intergenic	NA	12323421	12031440	character(0)	12323421	12324661	3074322	character(0)	12323421	12324661	character(0)	12020860	12031440	9058968	190131	NA	1
457	chr10	-	121410350	10	121410350	121410354	10	1	3UTR	NA	121410350	121412935	192678	121410350	121476347	121412936	NA	NA	NA	NA	NA	NA	2586	NA	2586	10
458	chr10	-	121546455	1	121546455	121546455	1	1	3UTR	NA	121546455	121547136	56480	121546455	121586787	121547137	NA	NA	NA	NA	NA	NA	682	NA	682	1
459	chr10	-	121640798	2	121640798	121640798	2	1	intergenic	NA	121703663	121626332	character(0)	121703663	121705035	3074322	character(0)	121703663	121705035	73192	121587380	121626332	118566476	62865	NA	2
460	chr10	-	122068985	1	122068985	122068985	1	1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	122069136	122069451	117600	121780991	122047315	118994663	151	118994663	1
461	chr10	-	122081260	1	122081260	122081260	1	1	3UTR	NA	122078114	122081271	216395	122078114	122097371	122081272	NA	NA	NA	NA	NA	NA	12	NA	12	1
462	chr10	-	122438932	1	122438932	122438932	1	1	intron	NA	122436515	122546397	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
463	chr10	-	122818544	1	122818544	122818544	1	1	intergenic	NA	122985074	122792483	387251	122985074	122985831	122985074	387251	122985074	122985831	character(0)	122792055	122792483	166530	166530	NA	1
464	chr10	-	122992060	1	122992060	122992060	1	1	3UTR	NA	122992060	122995669	67074	122992060	123076505	122995670	NA	NA	NA	NA	NA	NA	3610	NA	3610	1
465	chr10	-	122995071	1	122995071	122995071	1	1	3UTR	NA	122992060	122995669	67074	122992060	123076505	122995670	NA	NA	NA	NA	NA	NA	599	NA	599	1
466	chr10	-	123111735	12	123111735	123111739	12	1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	1770	NA	1770	12
467	chr10	-	123112093	1	123112093	123112093	1	1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	1412	NA	1412	1
468	chr10	-	123113228	8	123113228	123113252	8	1	3UTR	NA	123105006	123113504	14479	123105006	123196995	123113505	NA	NA	NA	NA	NA	NA	277	NA	277	8
469	chr10	-	123953657	1	123953657	123953657	1	1	intergenic	NA	124821112	123891898	character(0)	124821112	124845481	3074322	character(0)	124821112	124845481	character(0)	123890803	123891898	120879335	867455	NA	1
470	chr10	-	124627804	1	124627804	124627804	1	1	intergenic	NA	124821112	123891898	character(0)	124821112	124845481	3074322	character(0)	124821112	124845481	character(0)	123890803	123891898	121553482	193308	NA	1
471	chr10	-	125133227	1	125133227	125133227	1	1	intergenic	NA	125219270	124857492	20503	125219270	125328963	125228012	20503	125219270	125328963	character(0)	124855213	124857492	94785	86043	NA	1
472	chr10	-	126887248	9	126887248	126887253	9	1	intron	NA	126868726	126891639	68876	126868427	126901355	126868657	NA	NA	NA	NA	NA	NA	NA	NA	NA	9
473	chr10	-	127022337	4	127022337	127022343	4	1	3UTR	NA	127022332	127022519	66399	127011572	127030803	127011600	NA	NA	NA	NA	NA	NA	10737	NA	10737	4
474	chr10	-	127095650	5	127095650	127095650	5	1	3UTR	NA	127095650	127096246	216440	127095650	127121125	127096247	NA	NA	NA	NA	NA	NA	597	NA	597	5
475	chr10	-	127281956	1	127281956	127281956	1	1	3UTR	NA	127281956	127282177	110962	127281956	127283668	127282833	NA	NA	NA	NA	NA	NA	877	NA	877	1
476	chr10	-	127305422	1	127305422	127305422	1	1	CDS	NA	127305422	127305625	216443	127296221	127311786	127296294	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
477	chr10	-	127517317	1	127517317	127517317	1	1	3UTR	NA	127517123	127517788	108037	127517123	127522386	127517789	NA	NA	NA	NA	NA	NA	472	NA	472	1
478	chr10	-	127660918	1	127660918	127660918	1	1	3UTR	NA	127660918	127661669	17937	127660918	127666710	127661670	NA	NA	NA	NA	NA	NA	752	NA	752	1
479	chr10	-	128509964	1	128509964	128509964	1	1	3UTR	NA	NA	NA	23943	NA	NA	NA	23943	128509965	128525870	216459	128494157	128498685	656	1	656	1
480	chr10	-	128557768	1	128557768	128557768	1	1	3UTR	NA	128557766	128558905	18813	128557766	128565934	128558906	NA	NA	NA	NA	NA	NA	1138	NA	1138	1
481	chr10	-	128630843	1	128630843	128630843	1	1	3UTR	NA	128630843	128634047	22781	128630843	128645991	128634048	NA	NA	NA	NA	NA	NA	3205	NA	3205	1
482	chr10	-	128697938	1	128697938	128697938	1	1	3UTR	NA	NA	NA	12566	NA	NA	NA	12566	128697939	128705003	19344	128677175	128696264	1168	1	1168	1
483	chr10	-	128854212	1	128854212	128854212	1	1	intergenic	NA	128882295	128821645	14561	128882295	128891718	128885106	14561	128882295	128891718	66844	128818723	128821645	30894	28083	NA	1
251	chr10	-	13652716	1	13652716	13652716	1	1	3UTR	NA	13652451	13652901	66253	13647054	13868980	13647669	NA	NA	NA	NA	NA	NA	5047	NA	5047	1
252	chr10	-	14655333	5	14655333	14655336	5	1	3UTR	NA	14654755	14655699	66201	14654755	14705560	14655700	NA	NA	NA	NA	NA	NA	367	NA	367	5
253	chr10	-	14657614	1	14657614	14657614	1	1	intron	NA	14655846	14661065	66201	14654755	14705560	14655700	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
254	chr10	-	14851500	1	14851500	14851500	1	1	intergenic	NA	15227571	14760720	character(0)	15227571	15228048	3074322	character(0)	15227571	15228048	character(0)	14758635	14760720	11777178	376071	NA	1
255	chr10	-	17721880	1	17721880	17721880	1	1	intergenic	NA	17790522	17658513	character(0)	17790522	17795328	3074322	character(0)	17790522	17795328	character(0)	17562743	17658513	14647558	68642	NA	1
256	chr10	-	17852806	1	17852806	17852806	1	1	intergenic	NA	17868612	17799921	380629	17868612	17915222	17869633	380629	17868612	17915222	character(0)	17793106	17799921	16827	15806	NA	1
257	chr10	-	18335444	1	18335444	18335444	1	1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	18336121	18337241	character(0)	18302669	18303062	15261122	677	15261122	1
258	chr10	-	18335642	5	18335642	18335647	5	1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	18336121	18337241	character(0)	18302669	18303062	15261320	479	15261320	5
259	chr10	-	18634152	1	18634152	18634152	1	1	intron	NA	18630927	18634762	215821	18581839	18743949	18589581	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
260	chr10	-	20322981	1	20322981	20322981	1	1	intergenic	NA	20365010	20312294	character(0)	20365010	20365437	3074322	character(0)	20365010	20365437	character(0)	20310506	20312294	17248659	42029	NA	1
261	chr10	-	22148489	4	22148489	22148489	4	1	CDS	NA	22148489	22149012	319887	22113050	22148819	22113050	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
262	chr10	-	23830476	3	23830476	23830476	3	1	intergenic	NA	23984609	23787275	215855	23984609	23985646	23984609	215855	23984609	23985646	20042	23785183	23787275	154133	154133	NA	3
263	chr10	-	24870061	1	24870061	24870061	1	1	intergenic	NA	24915221	24842823	11846	24915221	24927484	24915610	11846	24915221	24927484	209558	24808151	24842823	45549	45160	NA	1
264	chr10	-	25169090	1	25169090	25169090	1	1	3UTR	NA	25169090	25171051	432442	25169090	25200158	25171052	NA	NA	NA	NA	NA	NA	1962	NA	1962	1
265	chr10	-	25219055	1	25219055	25219055	1	1	intron	NA	25171249	25220610	432442	25169090	25200158	25171052	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
266	chr10	-	25279329	1	25279329	25279329	1	1	3UTR	NA	25279329	25279624	432442	25169090	25200158	25171052	NA	NA	NA	NA	NA	NA	108277	NA	108277	1
267	chr10	-	26793754	1	26793754	26793754	1	1	intergenic	NA	26980036	26742556	16773	26980036	26988514	26980036	16773	26980036	26988514	character(0)	26742079	26742556	186282	186282	NA	1
