chr	strand	coord	read_num	sample	ftr	gene_type	ftr_start	ftr_end	gene	gene_start	gene_end	gene_stop_codon	upstream_id	upstream_start	upstream_end	downstream_id	downstream_start	downstream_end	three_UTR_length	three_extend	toStop	tag
PA19098	chr1_GL456210_random	-	123613	SRR8798075.42406	GV1	intergenic	NA	135395	110303	character(0)	135395	136519	3074322	character(0)	135395	136519	character(0)	108390	110303	2950709	11782	NA	1
PA19103	chr1_GL456211_random	-	53928	SRR8798075.24612	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	54469	54840	character(0)	30483	32396	3020394	541	3020394	1
PA19105	chr1_GL456211_random	-	53932	SRR8798075.41469	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	54469	54840	character(0)	30483	32396	3020390	537	3020390	1
PA19106	chr1_GL456211_random	-	53937	SRR8798075.53784	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	54469	54840	character(0)	30483	32396	3020385	532	3020385	1
PA19100	chr1_GL456211_random	+	67861	SRR8798075.16674	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	66955	67326	character(0)	113868	114758	3006461	535	3006461	1
PA19101	chr1_GL456211_random	+	67867	SRR8798075.16628	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	66955	67326	character(0)	113868	114758	3006455	541	3006455	1
PA19110	chr1_GL456212_random	-	114629	SRR8798075.21331	GV1	intergenic	NA	128555	34932	character(0)	128555	150452	3074322	character(0)	128555	150452	character(0)	31967	34932	2959693	13926	NA	1
PA19111	chr1_GL456212_random	-	114634	SRR8798075.48675	GV1	intergenic	NA	128555	34932	character(0)	128555	150452	3074322	character(0)	128555	150452	character(0)	31967	34932	2959688	13921	NA	1
PA19112	chr1_GL456212_random	-	128603	SRR8798075.28907	GV1	3UTR	NA	128555	128946	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	2945719	NA	2945719	1
PA19107	chr1_GL456212_random	-	60543	SRR8798075.55682	GV1	intergenic	NA	128555	34932	character(0)	128555	150452	3074322	character(0)	128555	150452	character(0)	31967	34932	3013779	68012	NA	1
PA19108	chr1_GL456212_random	-	60546	SRR8798075.58555	GV1	intergenic	NA	128555	34932	character(0)	128555	150452	3074322	character(0)	128555	150452	character(0)	31967	34932	3013776	68009	NA	1
PA19109	chr1_GL456212_random	-	60556	SRR8798075.62499	GV1	intergenic	NA	128555	34932	character(0)	128555	150452	3074322	character(0)	128555	150452	character(0)	31967	34932	3013766	67999	NA	1
PA19119	chr1_GL456221_random	+	59649	SRR8798075.61263	GV1	3UTR	NA	NA	NA	character(0)	NA	NA	NA	character(0)	58743	59114	character(0)	151235	152734	3014673	535	3014673	1
PA1719	chr10	-	100443902	SRR8798075.50578	GV1	3UTR	NA	100443902	100446928	237500	100443902	100487350	100446929	NA	NA	NA	NA	NA	NA	3027	NA	3027	1
PA1721	chr10	-	100443908	SRR8798075.55356	GV1	3UTR	NA	100443902	100446928	237500	100443902	100487350	100446929	NA	NA	NA	NA	NA	NA	3021	NA	3021	1
PA1723	chr10	-	101314419	SRR8798075.55403	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240097	1117489	NA	1
PA1724	chr10	-	101314431	SRR8798075.47369	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240109	1117477	NA	1
PA1725	chr10	-	101314437	SRR8798075.17347	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240115	1117471	NA	1
PA1726	chr10	-	101314438	SRR8798075.17762	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240116	1117470	NA	1
PA1727	chr10	-	101314442	SRR8798075.1571	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240120	1117466	NA	1
PA1754	chr10	-	101314444	SRR8798075.40228	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240122	1117464	NA	1
PA1756	chr10	-	101314445	SRR8798075.16843	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240123	1117463	NA	1
PA1762	chr10	-	101314446	SRR8798075.30746	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240124	1117462	NA	1
PA1763	chr10	-	101314449	SRR8798075.55556	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240127	1117459	NA	1
PA1764	chr10	-	101314450	SRR8798075.31220	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240128	1117458	NA	1
PA1765	chr10	-	101314451	SRR8798075.8458	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240129	1117457	NA	1
PA1766	chr10	-	101314457	SRR8798075.3127	GV1	intergenic	NA	102431908	100741635	character(0)	102431908	102432338	3074322	character(0)	102431908	102432338	102639396	100707535	100741635	98240135	1117451	NA	1
PA1772	chr10	-	103797029	SRR8798075.24453	GV1	intergenic	NA	103856267	103582393	character(0)	103856267	103858332	3074322	character(0)	103856267	103858332	character(0)	103581398	103582393	100722707	59238	NA	1
PA1774	chr10	-	105825997	SRR8798075.15320	GV1	intron	NA	105823311	105825997	216292	105763189	105841378	105763360	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA979	chr10	-	10591969	SRR8798075.3040	GV1	intergenic	NA	10686059	10558265	14816	10686059	11082356	10688963	14816	10686059	11082356	67844	10545002	10558265	96994	94090	NA	1
PA1779	chr10	-	108411612	SRR8798075.22369	GV1	intergenic	NA	108497650	108142432	20979	108497650	109010975	108500540	20979	108497650	109010975	character(0)	108141688	108142432	88928	86038	NA	1
PA1781	chr10	-	108733720	SRR8798075.1377	GV1	intron	NA	108691064	108831105	20979	108497650	109010975	108500540	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1782	chr10	-	109681576	SRR8798075.12983	GV1	3UTR	NA	109681259	109684119	260315	109681259	110000219	109684120	NA	NA	NA	NA	NA	NA	2544	NA	2544	1
PA1784	chr10	-	112013768	SRR8798075.2091	GV1	intron	NA	112013521	112024360	character(0)	3073253	3074322	3074322	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1788	chr10	-	115197013	SRR8798075.60071	GV1	3UTR	NA	NA	NA	66687	NA	NA	NA	66687	115197872	115251467	216343	115078641	115185022	2539	859	2539	1
PA1815	chr10	-	115198731	SRR8798075.8904	GV1	3UTR	NA	115197872	115199551	66687	115197872	115251467	115199552	NA	NA	NA	NA	NA	NA	821	NA	821	1
PA1819	chr10	-	115199394	SRR8798075.26820	GV1	3UTR	NA	115197872	115199551	66687	115197872	115251467	115199552	NA	NA	NA	NA	NA	NA	158	NA	158	1
PA1823	chr10	-	115287311	SRR8798075.13384	GV1	3UTR	NA	115287084	115290771	216344	115287084	115315591	115290772	NA	NA	NA	NA	NA	NA	3461	NA	3461	1
PA1824	chr10	-	115289862	SRR8798075.26317	GV1	3UTR	NA	115287084	115290771	216344	115287084	115315591	115290772	NA	NA	NA	NA	NA	NA	910	NA	910	1
PA1828	chr10	-	115340739	SRR8798075.39701	GV1	intron	NA	115339887	115342473	67226	115339674	115362231	115342506	NA	NA	NA	NA	NA	NA	NA	NA	NA	1
PA1829	chr10	-	115342404	SRR8798075.16751	GV1	3UTR	NA	115340742	115342505	67226	115339674	115362231	115342506	NA	NA	NA	NA	NA	NA	102	NA	102	1
PA1830	chr10	-	116123542	SRR8798075.2741	GV1	intergenic	NA	116417861	116113917	58802	116417861	116473878	116418238	58802	116417861	116473878	619332	116111664	116113917	294696	294319	NA	1
PA1831	chr10	-	116123551	SRR8798075.58075	GV1	intergenic	NA	116417861	116113917	58802	116417861	116473878	116418238	58802	116417861	116473878	619332	116111664	116113917	294687	294310	NA	1
PA1837	chr10	-	116336344	SRR8798075.18886	GV1	intergenic	NA	116417861	116113917	58802	116417861	116473878	116418238	58802	116417861	116473878	619332	116111664	116113917	81894	81517	NA	1
PA1839	chr10	-	116336347	SRR8798075.14029	GV1	intergenic	NA	116417861	116113917	58802	116417861	116473878	116418238	58802	116417861	116473878	619332	116111664	116113917	81891	81514	NA	1
PA1841	chr10	-	116336348	SRR8798075.39909	GV1	intergenic	NA	116417861	116113917	58802	116417861	116473878	116418238	58802	116417861	116473878	619332	116111664	116113917	81890	81513	NA	1
